price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link,add,lat,lon,district
9350000,16.05088690126487,33.4,1,9,9,метро Аннино,17 минут пешком,1,17,https://www.cian.ru/sale/flat/312521841/,"ул. Газопровод, 11К1",55.589371,37.608634,район Чертаново Южное
16800000,16.636889444373487,60.0,3,9,9,метро Аннино,6 минут на транспорте,0,6,https://www.cian.ru/sale/flat/289186600/,"Чертановская ул., 66К3",55.597129,37.584398,район Чертаново Южное
18800000,16.749367427800177,74.2,3,14,16,метро Аннино,3 минуты пешком,1,3,https://www.cian.ru/sale/flat/308826400/,"Варшавское ш., 143К2",55.582864,37.599094,район Чертаново Южное
19500000,16.785925023533974,61.3,2,5,20,метро Аннино,4 минуты пешком,1,4,https://www.cian.ru/sale/flat/315784626/,"Варшавское ш., 160к2",55.5838,37.591288,район Чертаново Южное
23000000,16.951004773893423,62.0,2,13,18,метро Аннино,4 минуты пешком,1,4,https://www.cian.ru/sale/flat/316010917/,"Варшавское ш., 160к2",55.5838,37.591288,район Чертаново Южное
12000000,16.300417207752275,43.6,2,2,9,метро Аннино,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/311969191/,"Россошанская ул., 3К2",55.597943,37.608859,район Чертаново Южное
15499000,16.556286063679188,42.2,1,14,24,метро Аннино,11 минут пешком,1,11,https://www.cian.ru/sale/flat/314810061/,"Варшавское ш., 139",55.591976,37.601987,район Чертаново Южное
21500000,16.883563493097892,74.5,3,5,17,метро Аннино,16 минут пешком,1,16,https://www.cian.ru/sale/flat/311867798/,"ул. Академика Янгеля, 3",55.594819,37.595321,район Чертаново Южное
19900000,16.80623028969472,55.2,2,5,25,метро Аннино,5 минут пешком,1,5,https://www.cian.ru/sale/flat/315655116/,"Варшавское ш., 141Ак1",55.585321,37.601178,район Чертаново Южное
50000000,17.72753356339242,134.0,3,23,25,метро Аннино,5 минут пешком,1,5,https://www.cian.ru/sale/flat/312305936/,"Варшавское ш., 141Ак1",55.585321,37.601178,район Чертаново Южное
